idx, drive, strafe, turn, fwd, side, left, right, back, X, Y, THETA, Pxx, Pyy
166, -33, 5.36183, 1.251052, 125.3824, -513.9645, 168.5085, 307.0, 1034.5, 369.838, 2443.74, -90.6071, 0.2807413, 0.2642639
167, -33, 5.36183, 1.251052, 116.1482, -516.3008, 164.2539, 307.0, 1034.5, 367.6718, 2453.092, -90.81887, 0.2538404, 0.2742639
168, -33, 3.910594, 1.870232, 116.1482, -516.3008, 164.2539, 307.0, 1020.0, 367.8706, 2453.267, -91.00426, 0.2638404, 0.2488888
169, -33, 3.910594, 1.870232, 107.6942, -517.2362, 164.2539, 312.0, 1020.0, 367.3683, 2461.823, -91.22416, 0.2738404, 0.2588888
170, -33, 2.362612, 2.417936, 107.6942, -517.2362, 162.5279, 312.0, 1020.0, 367.2122, 2461.901, -91.43332, 0.2485641, 0.2688888
171, -33, 2.362612, 2.417936, 99.94062, -517.4711, 162.5279, 312.0, 1020.0, 367.3623, 2469.713, -91.58265, 0.2585641, 0.2788888
172, -33, 0.8315015, 2.880506, 99.94062, -517.4711, 162.5279, 312.0, 998.5, 367.5179, 2470.49, -91.72721, 0.2685641, 0.2524271
173, -33, 0.8315015, 2.880506, 91.79695, -517.4711, 162.5279, 312.0, 998.5, 367.9676, 2478.687, -91.88542, 0.2785641, 0.2624271
174, -33, 0.2272291, 3.244208, 91.79695, -517.4711, 160.7875, 312.0, 998.5, 367.4402, 2478.735, -92.01888, 0.2521791, 0.2724271
175, -33, -0.22644, 3.41195, 83.22327, -517.4711, 160.7875, 312.0, 985.5, 367.8786, 2487.484, -92.12348, 0.2621791, 0.2474796
176, -33, -0.22644, 3.41195, 83.22327, -517.4711, 160.7875, 312.0, 985.5, 367.9972, 2487.523, -92.23328, 0.2721791, 0.2574796
177, -33, -1.921162, 3.746734, 74.92444, -515.6403, 163.3927, 312.0, 985.5, 369.6926, 2495.779, -92.34844, 0.2472892, 0.2674796
178, -33, -1.921162, 3.746734, 74.92444, -515.6403, 163.3927, 312.0, 985.5, 369.805, 2495.816, -92.45241, 0.2572892, 0.2774796
